GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
clustering.services-implementation,org.opendaylight.controller.clustering.services_implementation.internal,ClusterManager,1147,0,174,0,346,0,112,0,25,0
clustering.services-implementation,org.opendaylight.controller.clustering.services_implementation.internal,ClusterGlobalManager,33,0,4,0,12,0,6,0,4,0
clustering.services-implementation,org.opendaylight.controller.clustering.services_implementation.internal,CacheListenerContainer,74,0,12,0,24,0,11,0,5,0
clustering.services-implementation,org.opendaylight.controller.clustering.services_implementation.internal,ClusterManager.ViewChangedListener,24,0,2,0,6,0,3,0,2,0
clustering.services-implementation,org.opendaylight.controller.clustering.services_implementation.internal,GetUpdatesContainer,46,0,6,0,15,0,8,0,5,0
clustering.services-implementation,org.opendaylight.controller.clustering.services_implementation.internal,ClusterManagerCommon.ListenCoordinatorChange,40,0,4,0,6,0,4,0,2,0
clustering.services-implementation,org.opendaylight.controller.clustering.services_implementation.internal,ClusterManagerCommon,400,0,62,0,131,0,55,0,24,0
clustering.services-implementation,org.opendaylight.controller.clustering.services_implementation.internal,ClusterContainerManager,3,0,0,0,1,0,1,0,1,0
clustering.services-implementation,org.opendaylight.controller.clustering.services_implementation.internal,Activator,152,0,6,0,42,0,11,0,8,0
